SITE,CONST,YR,DOY,MP1,MP2,MP5,CRMP1,CRMP2,CRMP5,CRGF,CRMW,CRIOD
ALGR,G,23,91,0.2914,0.3626,0.2631,293.978,256.275,361.977,368.507,290.711,327.05
ALGR,G,23,92,0.2904,0.3567,0.2645,1010.15,656.325,1425.82,938,308.988,750.4
ALGR,G,23,93,0.2949,0.3551,0.2632,656.6,486.204,922.706,820.75,341.091,729.556
ALGR,G,23,94,0.3007,0.3595,0.2664,254.369,206.157,601.538,379.71,315.663,249.524
ALGR,G,23,95,0.293,0.3529,0.2645,709.892,546.958,1203.38,847.29,359.808,750.457
ALGR,G,23,96,0.3014,0.3547,0.2612,416.279,317.238,743.714,577.114,270.138,479.113
ALGR,G,23,97,0.2946,0.3448,0.2594,569.174,390.522,820.263,770.059,319.293,654.55
ALGR,G,23,98,0.2949,0.3555,0.2589,243.589,198.893,431.278,377.739,283.304,263.273
ALGR,G,23,99,0.294,0.3506,0.2648,188.645,172.325,323.062,265.643,347.107,197.22
ALGR,G,23,100,0.295,0.3506,0.259,656.225,444.559,979.75,1049.96,354.716,795.424
ALGR,G,23,101,0.3003,0.3477,0.2763,123.791,112.047,225.899,190.657,239.633,130.6
ALGR,G,23,102,0.2967,0.3447,0.2674,137.413,123.024,250.452,206.119,198.252,145.089
ALGR,G,23,103,0.2928,0.348,0.2774,148.48,139.548,231.94,245.132,195.368,156.53
ALGR,G,23,104,0.295,0.3522,0.2665,155.44,129.811,200.628,241.796,235.261,157.313
ALGR,G,23,105,0.2924,0.3571,0.2692,124.904,112.857,233,190.547,261.05,128.596
ALGR,G,23,106,0.2885,0.3532,0.265,234.477,187.094,288.611,366.577,366.577,247.876
ALGR,G,23,107,0.2911,0.3543,0.2736,300.379,239.55,580.444,408.328,233.33,322.63
ALGR,G,23,108,0.2996,0.3532,0.2661,492.547,357.26,601.462,652.625,334.679,567.5
ALGR,G,23,109,0.3025,0.3565,0.2665,580.273,411.532,625.792,750.941,455.929,638.3
ALGR,G,23,110,0.2962,0.361,0.2618,220.525,198.45,389.075,337.948,306.141,250.212
ALGR,G,23,111,0.296,0.3594,0.2595,362.764,289.978,558.321,442.695,310.94,389.836
ALGR,G,23,112,0.2916,0.3594,0.2652,546.167,374.071,870.667,689.895,312.095,609.674
ALGR,G,23,113,0.2859,0.3576,0.2646,569.087,408.656,680.217,654.45,523.56,608.791
ALGR,G,23,114,0.2894,0.3523,0.2596,581.133,466.661,653.167,637.829,275.274,568.5
